DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.18-00.24.20, HierarchicalDDC, DataSize=3017051 bytes, Retrieved=true, Duration=2.175830ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId18100BE241DFAD0D300EC59D7B73B8A9_0, CachedDataProbablyExists, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.18-00.24.20, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.397831ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.18-00.24.20, HierarchicalDDC, DataSize=2204837 bytes, Retrieved=true, Duration=2.976447ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionIdC612664543D0AE46975901A7F3EFBDD3_0, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.18-00.24.20, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.558883ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.18-00.24.20, HierarchicalDDC, Retrieved=false, Duration=0.340745ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_3, CachedDataProbablyExists, Parent=DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_2, StartTime=2015.09.18-00.24.20, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.322107ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId18100BE241DFAD0D300EC59D7B73B8A9_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.18-00.24.58, HierarchicalDDC, Duration=0.019804ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionIdC612664543D0AE46975901A7F3EFBDD3_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.18-00.24.58, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.351816ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionIdC612664543D0AE46975901A7F3EFBDD3_2, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.18-00.24.58, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.185229ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.18-00.24.58, HierarchicalDDC, DataSize=43775 bytes, Retrieved=true, Duration=0.081837ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId18100BE241DFAD0D300EC59D7B73B8A9_2, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.18-00.24.58, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.367250ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
DDCTransactionId1C7C37A841DB9E4B7792A4B86D45BFD0_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufDAB81C__B30619E574EE057191BE65092C9F5A09FA5819FF, StartTime=2015.09.18-00.24.58, HierarchicalDDC, Retrieved=false, Duration=0.245225ms, RunGuid=RunID87C2EC3648EA2581C25989B1D25085D9
