DDCTransactionId613BE72345358265551D29B43327CE7A_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.21-09.16.24, HierarchicalDDC, DataSize=3017051 bytes, Retrieved=true, Duration=3.862683ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId8CCA9986414386A262E4269FEABD6F6F_0, CachedDataProbablyExists, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.409190ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.21-09.16.24, HierarchicalDDC, DataSize=2204837 bytes, Retrieved=true, Duration=3.200408ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionIdE7F9A6E744AD81FDEF14BEA3A509ED55_0, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.335794ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.21-09.16.24, HierarchicalDDC, DataSize=1522806 bytes, Retrieved=true, Duration=12.721546ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_3, CachedDataProbablyExists, Parent=DDCTransactionId613BE72345358265551D29B43327CE7A_2, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.311334ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_4, GetCachedData, Parent=DDCTransactionId613BE72345358265551D29B43327CE7A_2, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Retrieved=true, Duration=10.036625ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.21-09.16.24, HierarchicalDDC, DataSize=43775 bytes, Retrieved=true, Duration=0.064071ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionIdE7F9A6E744AD81FDEF14BEA3A509ED55_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.403944ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufDAB81C__B30619E574EE057191BE65092C9F5A09FA5819FF, StartTime=2015.09.21-09.16.24, HierarchicalDDC, DataSize=36654 bytes, Retrieved=true, Duration=4.211005ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
DDCTransactionId613BE72345358265551D29B43327CE7A_7, CachedDataProbablyExists, Parent=DDCTransactionId613BE72345358265551D29B43327CE7A_6, StartTime=2015.09.21-09.16.24, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.251628ms, RunGuid=RunIDE01A2E58424D520A8AD051AF6E6EB83A
