DDCTransactionId6648A4B64503449030505EB86724B9DA_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.24-08.54.47, HierarchicalDDC, DataSize=3017051 bytes, Retrieved=true, Duration=2.842773ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId966372A241619D1B68D9BDB606E57E1A_0, CachedDataProbablyExists, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__94EDC75B281300C8781B3AA1852EEB0E1E672895, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.502385ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.24-08.54.47, HierarchicalDDC, DataSize=2204837 bytes, Retrieved=true, Duration=3.463689ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionIdF35CD19F471F5EF3BA0E68973A56ACF5_0, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__4209190CEF4957FEDAE54CC65B2FDFCC718ECDBA, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.406858ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__124BBC8057C565E09FE85456F1EA165E57CF6D84, StartTime=2015.09.24-08.54.47, HierarchicalDDC, DataSize=1522806 bytes, Retrieved=true, Duration=14.740135ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_3, CachedDataProbablyExists, Parent=DDCTransactionId6648A4B64503449030505EB86724B9DA_2, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.331428ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_4, GetCachedData, Parent=DDCTransactionId6648A4B64503449030505EB86724B9DA_2, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Retrieved=true, Duration=11.999003ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.24-08.54.47, HierarchicalDDC, DataSize=43775 bytes, Retrieved=true, Duration=0.066694ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionIdF35CD19F471F5EF3BA0E68973A56ACF5_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__4485EF29C4E26C3570DC168DB1EE40F54EDE54AC, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.351235ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufDAB81C__B30619E574EE057191BE65092C9F5A09FA5819FF, StartTime=2015.09.24-08.54.47, HierarchicalDDC, DataSize=36654 bytes, Retrieved=true, Duration=4.342940ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
DDCTransactionId6648A4B64503449030505EB86724B9DA_7, CachedDataProbablyExists, Parent=DDCTransactionId6648A4B64503449030505EB86724B9DA_6, StartTime=2015.09.24-08.54.47, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.210855ms, RunGuid=RunID7D1139004ACF2F72B021EE923285DBEE
