DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__F7B3A6FDE0F43684F99C8691948796C1A14235E5, StartTime=2015.09.11-10.54.41, HierarchicalDDC, DataSize=3003315 bytes, Retrieved=true, Duration=2.177574ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionIdD37DEA4A44DFEAC754C50F8AE7DF67B6_0, CachedDataProbablyExists, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBuf_TLpvPro__F7B3A6FDE0F43684F99C8691948796C1A14235E5, StartTime=2015.09.11-10.54.41, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.398703ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__47F658FCE51639AAC2742468BCACC82774CF1BC0, StartTime=2015.09.11-10.54.42, HierarchicalDDC, DataSize=2175185 bytes, Retrieved=true, Duration=2.806358ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId31FF95B643995CC316632F9FD15018A6_0, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufD223CF__47F658FCE51639AAC2742468BCACC82774CF1BC0, StartTime=2015.09.11-10.54.42, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.390258ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__7FEC9C03150A6004B4DCDED992295688217FC3FC, StartTime=2015.09.11-10.54.42, HierarchicalDDC, Retrieved=false, Duration=0.293277ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_3, CachedDataProbablyExists, Parent=DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_2, StartTime=2015.09.11-10.54.42, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.275508ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionIdD37DEA4A44DFEAC754C50F8AE7DF67B6_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__7FEC9C03150A6004B4DCDED992295688217FC3FC, StartTime=2015.09.11-10.55.14, HierarchicalDDC, Duration=0.011068ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId31FF95B643995CC316632F9FD15018A6_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__7FEC9C03150A6004B4DCDED992295688217FC3FC, StartTime=2015.09.11-10.55.14, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.331428ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId31FF95B643995CC316632F9FD15018A6_2, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufD223CF__7FEC9C03150A6004B4DCDED992295688217FC3FC, StartTime=2015.09.11-10.55.14, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.190467ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__A2C2C0C8C3B8F3D2E37F4F17E8E91BEAD4476958, StartTime=2015.09.11-10.55.14, HierarchicalDDC, DataSize=43775 bytes, Retrieved=true, Duration=0.065818ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionIdD37DEA4A44DFEAC754C50F8AE7DF67B6_2, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_NoSL_NoDBufDAB81C__A2C2C0C8C3B8F3D2E37F4F17E8E91BEAD4476958, StartTime=2015.09.11-10.55.14, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.259783ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_NoSL_NoDBufDAB81C__81E71D6D4593E9653F7AD9A579FB8092121BB7F2, StartTime=2015.09.11-10.55.14, HierarchicalDDC, Retrieved=false, Duration=0.288617ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_6, CachedDataProbablyExists, Parent=DDCTransactionId0B08B3E14E71059D39EB689E88A8B9D8_5, StartTime=2015.09.11-10.55.14, FileDDCPath=../../../Engine/DerivedDataCache, Duration=0.273470ms, RunGuid=RunIDF77404204E4F43B9CFE6BB8EC1C30D7F
